name,address,adname,pname,type,lat,lon
上海国际金融学院行政中心,茂名南路59号锦江饭店峻岭楼西楼一组W135,黄浦区,上海市,科教文化服务;学校;高等院校,31.222037500569463,121.45605953949145
上海交通大学护理学院,重庆南路227号,黄浦区,上海市,科教文化服务;学校;高等院校,31.21479564925048,121.46700127198808
上海应用技术学院黄浦教学点报名处,丽园路144号,黄浦区,上海市,科教文化服务;学校;高等院校,31.21215511623982,121.48304157679183
上海工艺美术职业学院,宁波路476号,黄浦区,上海市,科教文化服务;学校;高等院校,31.23936807547052,121.47389476600227
上海市黄浦区教育学院,丽园路478-2号,黄浦区,上海市,科教文化服务;学校;高等院校,31.209800519167885,121.47797014198471
上海市黄浦区行政学院,陆家浜路500号,黄浦区,上海市,科教文化服务;学校;高等院校,31.213815371885328,121.49282027070856
上海交通大学医学院,重庆南路227号,黄浦区,上海市,科教文化服务;学校;高等院校,31.214475323370195,121.4668217270047
上海开发大学黄埔分校,建国西路148-2号附近,黄浦区,上海市,科教文化服务;学校;高等院校,31.209347281784954,121.4592418635852
上海交通大学医学院东部研究生院,重庆南路227号上海交通大学医学院东区,黄浦区,上海市,科教文化服务;学校;高等院校,31.21429431773602,121.46716182755436
上海市黄浦区行政学院,鲁班路181号,黄浦区,上海市,科教文化服务;学校;高等院校,31.20766770483685,121.47019219653805
上海电力技术与管理学院(重庆南路),重庆南路310新电大厦,黄浦区,上海市,科教文化服务;学校;高等院校,31.211502531966282,121.46748911375246
中国人民大学(上海校区),南京东路800号新一百大厦17层(整层)(人民广场地铁19号出口东方商厦),黄浦区,上海市,科教文化服务;学校;高等院校,31.23781589566557,121.47069526666522
上海开放大学黄浦分校(建国西路校区),建国西路154号(近陕西南路),黄浦区,上海市,科教文化服务;学校;高等院校,31.20920211126982,121.45914458872691
上海交通大学医学院东区东8,南北高架路与南北高架路出口交叉口北100米,黄浦区,上海市,科教文化服务;学校;高等院校,31.2139557882658,121.46727722542224
上海交通大学医学院东区留学生教育中心,淡水路388-2附近,黄浦区,上海市,科教文化服务;学校;高等院校,31.21494065406821,121.46888732466812
上海交通大学九院临床医学院,制造局路与铁道路交叉口东100米,黄浦区,上海市,科教文化服务;学校;高等院校,31.20148028553585,121.48235808622113
上海交通大学医学院东区懿德楼,重庆南路229附近,黄浦区,上海市,科教文化服务;学校;高等院校,31.21454576473383,121.46774667920185
华东师范大学开放教育学院(网络教育),丽园路240号,黄浦区,上海市,科教文化服务;学校;高等院校,31.21172919787096,121.48163267520695
上海交通大学口腔医学院(制造局路),制造局路639号上海交通大学医学院附属第九人民医院,黄浦区,上海市,科教文化服务;学校;高等院校,31.204250060895763,121.48103121243523
上海开放大学黄浦分校,四川南路37号(近城隍庙),黄浦区,上海市,科教文化服务;学校;高等院校,31.232579530222427,121.48678106460969
威斯顿金融学院,成都南路158号,黄浦区,上海市,科教文化服务;学校;高等院校,31.222898394859875,121.46341932864605
上海交通大学医学院学生活动中心,合肥路365号,黄浦区,上海市,科教文化服务;学校;高等院校,31.21556714956833,121.468441830008
远东大学艾能学院,打浦路与瞿溪路交叉路口向东南约100米(荣科大厦),黄浦区,上海市,科教文化服务;学校;高等院校,31.200604765230715,121.46895276350875
交通大学网络教育学院报名点,合肥路315号海文商务楼4层403,黄浦区,上海市,科教文化服务;学校;高等院校,31.215792860841425,121.4694811805426
上海市黄浦区社会主义学院,陆家浜路500号,黄浦区,上海市,科教文化服务;学校;高等院校,31.21286346656661,121.49403472013277
上海电视大学大同学院工作站报名处,丽园路144号,黄浦区,上海市,科教文化服务;学校;高等院校,31.211989257733368,121.48306266501216
上海交通大学医学院世博志愿者工作站,合肥路365号,黄浦区,上海市,科教文化服务;学校;高等院校,31.215545066957176,121.46837834454996
上海交通大学医学院东区后勤实业发展中心,重庆南路227号上海交通大学医学院东区,黄浦区,上海市,科教文化服务;学校;高等院校,31.215402359454316,121.46700121984935
上海开放大学(黄浦分校),陆家浜路1089号,黄浦区,上海市,科教文化服务;学校;高等院校,31.214285342498172,121.48312569119844
上海师范大学美术学院前进教育中心,瞿溪路801号703B室,黄浦区,上海市,科教文化服务;学校;高等院校,31.203974543261566,121.47699329024157
鸿风领导力学院上海总部,成都北路600中华保险华盛大厦9层,黄浦区,上海市,科教文化服务;学校;高等院校,31.23599063058792,121.46237700186659
上海第二医科大学瑞金临床医学院,瑞金二路197号瑞金医院,黄浦区,上海市,科教文化服务;学校;高等院校,31.21374581168386,121.463060006242
上海交通大学医学院西区西7,思南路95-1号附近,黄浦区,上海市,科教文化服务;学校;高等院校,31.214956610721988,121.46474613349676
上海交通大学医学院4号楼,重庆南路274附近,黄浦区,上海市,科教文化服务;学校;高等院校,31.214906676074985,121.46514338237357
上海交通大学医学院西区转化医学协同创新中心,重庆南路280号上海交通大学医学院西区,黄浦区,上海市,科教文化服务;学校;高等院校,31.215048865023604,121.46562087216664
上海交通大学医学院西区实验动物科学部,思南路95-1附近,黄浦区,上海市,科教文化服务;学校;高等院校,31.214703742063023,121.46475016779426
上海交通大学徐汇校区,华山路1954号,徐汇区,上海市,科教文化服务;学校;高等院校,31.20085222128896,121.42849267930708
上海师范大学(徐汇校区),桂林路100号,徐汇区,上海市,科教文化服务;学校;高等院校,31.16295895834476,121.41377250295496
上海音乐学院汾阳校区,汾阳路20号,徐汇区,上海市,科教文化服务;学校;高等院校,31.215613875691123,121.45008976383566
华东理工大学(徐汇校区),梅陇路130号,徐汇区,上海市,科教文化服务;学校;高等院校,31.14523087815654,121.41926260095705
上海商学院徐汇校区,中山西路2271号,徐汇区,上海市,科教文化服务;学校;高等院校,31.184467790990066,121.42495763923216
上海立信会计金融学院徐汇校区,中山西路2230号,徐汇区,上海市,科教文化服务;学校;高等院校,31.182889938873938,121.42442000156116
上海行政学院,虹漕南路200号,徐汇区,上海市,科教文化服务;学校;高等院校,31.161106924290163,121.4065888096228
复旦大学公共卫生学院,医学院路138号复旦大学上海医学院,徐汇区,上海市,科教文化服务;学校;高等院校,31.19847951789284,121.44403412697744
上海理工大学复兴路校区,复兴中路1195号,徐汇区,上海市,科教文化服务;学校;高等院校,31.21377996606165,121.45586770469036
上海应用技术大学徐汇校区,漕宝路120号,徐汇区,上海市,科教文化服务;学校;高等院校,31.167909794552088,121.41795516487377
上海市社会主义学院,天等路469号,徐汇区,上海市,科教文化服务;学校;高等院校,31.1397891058123,121.42155987009676
复旦大学护理学院,枫林路305号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19618911261568,121.45268837828459
田家炳教育学院,上海师范大学徐汇校区(桂林路100号),徐汇区,上海市,科教文化服务;学校;高等院校,31.16305480417017,121.41622478104357
上海医学院肿瘤学系,东安路270号,徐汇区,上海市,科教文化服务;学校;高等院校,31.193071608521233,121.44859884511698
上海体育学院徐汇校区,百色路1333号,徐汇区,上海市,科教文化服务;学校;高等院校,31.143630592864586,121.42707336857498
上海高级金融学院,淮海西路211号,徐汇区,上海市,科教文化服务;学校;高等院校,31.201891005297604,121.42644334549401
上海斯塔瑞恩国际设计学院,龙吴路1500-1502上海交通大学科技园海科园区商务楼5层508-510,徐汇区,上海市,科教文化服务;学校;高等院校,31.137457693651616,121.44922925411491
上海交通职业技术学院轨道学院,凯旋路2050号,徐汇区,上海市,科教文化服务;学校;高等院校,31.193941643069987,121.42005731081595
上海富民专修学院,罗秀路罗秀新村136号,徐汇区,上海市,科教文化服务;学校;高等院校,31.133272312959022,121.44257734913583
资源与环境工程学院,梅陇路130号华东理工大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.143706849321646,121.42140132867092
上海电子信息职业技术学院(徐汇校区),中山南二路620号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19028896357211,121.45439157465694
上海中华文化学院,天等路465号,徐汇区,上海市,科教文化服务;学校;高等院校,31.139968125569748,121.42166799304393
上海市老干部大学,东安路8号青松城3层,徐汇区,上海市,科教文化服务;学校;高等院校,31.20026083239773,121.44463039282684
上海理财专修学院,钦州南路71号,徐汇区,上海市,科教文化服务;学校;高等院校,31.162036776055512,121.42538420884395
上海行政学院第三分院,虹漕南路123号,徐汇区,上海市,科教文化服务;学校;高等院校,31.16349800817925,121.4094732202738
上海科技大学岳阳路校区,太原路294号,徐汇区,上海市,科教文化服务;学校;高等院校,31.204271522038738,121.44925556970051
麦当劳中国汉堡大学,虹梅路1801号A区凯科国际大厦,徐汇区,上海市,科教文化服务;学校;高等院校,31.170399834102497,121.39318924579723
江苏大学教学医院,淮海中路966号,徐汇区,上海市,科教文化服务;学校;高等院校,31.21919675153994,121.45389270222428
上海市徐汇区社区学院,上海斜土路街道大木桥路434号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19782246634595,121.45660317429414
北京大学上海教学中心,天等路400号,徐汇区,上海市,科教文化服务;学校;高等院校,31.139350733178137,121.42371177802977
韩通韩国语学院(徐汇校区),华山路2088号汇银广场715室,徐汇区,上海市,科教文化服务;学校;高等院校,31.19918269076777,121.43239758738012
复旦大学护理学院2,枫林路东150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.195955611430122,121.45329305058588
上海商学院阶梯教室,中山西路2267号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.184363975892943,121.42506680732134
上海应用技术学院12,康健路与柳州路交叉口西北200米,徐汇区,上海市,科教文化服务;学校;高等院校,31.168157217221907,121.41960100715276
上海应用技术学院20,漕宝路118号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.168568290405165,121.4177719090302
上海应用技术学院36,漕宝路282附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.16846019966981,121.41645053831805
上海应用技术学院26,漕宝路120号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.1675039810232,121.41793017289665
上海应用技术学院40,康健路347附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.16772874165816,121.4166468009643
上海应用技术学院34,康健路附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.167414443070463,121.41727347776397
上海应用技术学院38,康健路347附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.16797134854493,121.41632745691427
上海应用技术学院44,康健路与桂林路交叉口东北200米,徐汇区,上海市,科教文化服务;学校;高等院校,31.16761603080693,121.4157158843015
上海应用技术学院54,康健路355附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.167356190553786,121.41574793799894
上海应用技术学院48,康健路与桂林路交叉口东北150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.16750469632501,121.41522242151406
上海应用技术学院32,康健路341附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.168089005535087,121.4171703108512
上海应用技术学院52,康健路363附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.16695971191521,121.41488014873256
上海应用技术学院46,康健路与桂林路交叉口东北200米,徐汇区,上海市,科教文化服务;学校;高等院校,31.16745312283329,121.41572590817759
上海应用技术学院50,康健路与桂林路交叉口东北150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.16725782751098,121.41522744769787
上海医学院临床技能学习中心,医学院路138号复旦大学上海医学院东区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.198585692910246,121.44709055525736
复旦大学(枫林校区),东安路130号,徐汇区,上海市,科教文化服务;学校;高等院校,31.198909063536572,121.44734315967965
巴西柔术学院,十钢一号路与淮海西路交叉口东南50米,徐汇区,上海市,科教文化服务;学校;高等院校,31.199537920560697,121.42009286744072
上海健康职业技术学院,梅陇路21号,徐汇区,上海市,科教文化服务;学校;高等院校,31.142781401043443,121.42238267981924
上海行政学院第五分院2,天等路与攀登路交叉口南150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.141710479714998,121.42098898263797
上海行政学院第五分院6,嘉川路与天等路交叉口西北200米,徐汇区,上海市,科教文化服务;学校;高等院校,31.141242298119888,121.420570505541
上海行政学院第五分院5,梅陇路29号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14114981414545,121.4210230738028
上海文创学院,柳州路138号6层,徐汇区,上海市,科教文化服务;学校;高等院校,31.161451524912977,121.42140679727275
上海行政学院第五分院9,梅陇路161-6号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14222833788622,121.42014089816564
上海应用技术大学办公楼,漕宝路120号上海应用技术大学徐汇校区南校区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.16846019966981,121.41645053831805
磐水教育,龙漕路一弄7号,徐汇区,上海市,科教文化服务;学校;高等院校,31.171004450044716,121.43147936938621
上海复旦临床病理诊断中心,肇嘉浜路466弄2号伊泰利大厦2号楼2层201,徐汇区,上海市,科教文化服务;学校;高等院校,31.199760808847014,121.44789447545088
上海立信会计学院国际财经教育,中山西路2234号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.183144170278407,121.42472041044614
上海理工大学中英国际学院教务部,复兴中路与陕西南路交叉口南150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.214433400924076,121.45576134673591
上海科技大学岳阳路校区25,建国西路272号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.204797912395453,121.44909210200964
上海电视大学徐汇财贸分校,蒲汇塘路99号-2,徐汇区,上海市,科教文化服务;学校;高等院校,31.187647501042253,121.43112930717173
上海理工大学中英国际学院教学楼,复兴中路1195号,徐汇区,上海市,科教文化服务;学校;高等院校,31.21380715575745,121.45595294446808
上海开放大学(交大昂立分校),番禺路868号,徐汇区,上海市,科教文化服务;学校;高等院校,31.199101173173432,121.4238237532908
上海医学院医学实验教学中心,医学院路138号复旦大学上海医学院东区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.198585692910246,121.44709055525736
上海应用技术大学技师学院,漕宝路120号上海应用技术学院内(近桂林公园),徐汇区,上海市,科教文化服务;学校;高等院校,31.167414443070463,121.41727347776397
上海健康医学院徐汇校区13,天等路468号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.141398546647785,121.42275128995121
上海科技大学岳阳路校区31B,太原路294号31B楼附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.20432830993424,121.44917034449513
上海科技大学岳阳路校区31C,岳阳路319北80米,徐汇区,上海市,科教文化服务;学校;高等院校,31.20418752818824,121.44923953546973
复旦大学枫林校区东区护理学院,东安路131号复旦大学枫林校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.199720928381918,121.45160615187893
上海体育职业学院西部校区6,梅陇路1号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.143049276480426,121.42329087741116
上海体育职业学院西部校区5,梅陇路1号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.142915361476692,121.42330290546715
复旦大学退管会枫林校区办公室,医学院路138号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19893886063373,121.44677473798879
上海市工艺美术学校徐汇分校,漕溪北路502号,徐汇区,上海市,科教文化服务;学校;高等院校,31.18827717569461,121.43179343629421
复旦大学上海医学院枫林路校区,东安路131号,徐汇区,上海市,科教文化服务;学校;高等院校,31.198754675112554,121.44615822998207
上海体育职业学院西部校区10,梅陇路与老沪闵路交叉口西南200米,徐汇区,上海市,科教文化服务;学校;高等院校,31.142423134193002,121.42374656027368
上海应用技术大学-泰尔弗国际商学院,漕宝路120号上海应用技术大学徐汇校区南校区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.168160007342486,121.41721435087388
上海医学院解剖与组织胚胎学系,医学院路138号复旦大学上海医学院东区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.199280142501745,121.44794063377728
复旦大学新建枫林校区1号医学科研楼,东安路131号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19959642107585,121.44671854169948
上海市徐汇区行政学院(钦州南路),钦州南路567号,徐汇区,上海市,科教文化服务;学校;高等院校,31.159900702597103,121.41653536715836
上海健康医学院徐汇校区9号楼,梅陇路21号(近天等路)附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14214067076065,121.42231764956423
上海健康医学院徐汇校区3号楼,梅陇路21号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.142832767848763,121.4227381480929
上海健康医学院(徐汇校区),梅陇路21号,徐汇区,上海市,科教文化服务;学校;高等院校,31.142679791911572,121.42177289299043
上海应用技术学院航空实训中心,漕宝路120号上海应用技术大学徐汇校区南校区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.167332404425586,121.41599618304691
上海健康医学院徐汇校区综合楼,天等路468号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14126707390311,121.42226065025841
上海健康医学院徐汇校区行政楼,梅陇路21号(近天等路),徐汇区,上海市,科教文化服务;学校;高等院校,31.14200156499774,121.42305364516199
上海体育职业学院(西部校区),老沪闵路775号,徐汇区,上海市,科教文化服务;学校;高等院校,31.14293011043901,121.4239578114249
华东政法大学徐汇教学点,天平路245号巾帼园新6层,徐汇区,上海市,科教文化服务;学校;高等院校,31.199012093710948,121.4351237676326
上海立信会计学院徐汇校区6号楼,中山西路2230号,徐汇区,上海市,科教文化服务;学校;高等院校,31.18263604539579,121.42440199790472
上海应用技术大学高技能人才实践基地,海湾旅游区吴兴路770号,徐汇区,上海市,科教文化服务;学校;高等院校,31.201256739491857,121.44122841615793
上海市循证护理中心,枫林路305号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19582237546225,121.45228431352766
上海健康医学院徐汇校区B教学区,梅陇路37号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14187546628513,121.42290645714394
上海健康医学院徐汇校区报告厅,梅陇路23附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.142832767848763,121.4227381480929
上海健康医学院学生社团联合会,梅陇路31附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.142526276388107,121.42304558878722
上海应用技术大学艺术与设计学院,漕宝路120号上海应用技术学院徐汇校区南校区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.167397699046536,121.41865097985044
复旦大学研究生院(医学分院),医学院路138号复旦大学上海医学院,徐汇区,上海市,科教文化服务;学校;高等院校,31.199567912856452,121.44742530906494
昂立教育师大学校,桂林路46号,徐汇区,上海市,科教文化服务;学校;高等院校,31.158017929056054,121.41561562051486
金萌学院,桂林路252附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.17613595046009,121.41941409585509
名古屋大学上海联络处(驻上海交通大学),淮海西路55号申通信息广场27D,徐汇区,上海市,科教文化服务;学校;高等院校,31.203342837865968,121.42980865795955
上海复旦大学基础医学院病理学系,医学院路138号复旦大学上海医学院枫林路校区东区东1号楼2层,徐汇区,上海市,科教文化服务;学校;高等院校,31.19962093534629,121.44744836240956
上海健康医学院徐汇校区第四教学楼,老沪闵路777号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.141570984880623,121.42408610946757
上海健康医学院徐汇校区第三教学楼,嘉川路269号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.141387333824976,121.42344122760085
上海健康医学院徐汇校区体育器材室,梅陇路21号(近天等路)附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.142278478630907,121.42310769450899
上海健康医学院徐汇校区第三实验楼,梅陇路21号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.143048279923743,121.42240168179951
复旦大学基础医学院,医学院路138号复旦大学上海医学院,徐汇区,上海市,科教文化服务;学校;高等院校,31.199567912856452,121.44742530906494
上海健康医学院徐汇校区第一教学楼,梅陇路21号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14270832333945,121.42227654628063
上海健康医学院徐汇校区第二教学楼,天等路468号,徐汇区,上海市,科教文化服务;学校;高等院校,31.14105246737188,121.42251400349191
上海健康医学院徐汇校区第二实验楼,嘉川路与天等路交叉口东北100米,徐汇区,上海市,科教文化服务;学校;高等院校,31.140989725614265,121.42271627849426
上海行政学院第五分院,上海市徐汇区梅陇路161号,徐汇区,上海市,科教文化服务;学校;高等院校,31.141726220697425,121.42074668041886
复旦大学上海医学院,东安路131号复旦大学(枫林校区)内,徐汇区,上海市,科教文化服务;学校;高等院校,31.198986783554172,121.44770305843471
复旦大学上海医学院枫林路校区东区东12号楼,医学院路138号复旦大学上海医学院东区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.19954785384233,121.44786642282284
复旦大学上海医学院法医学系,医学院路138号复旦大学上海医学院东区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.19954785384233,121.44786642282284
复旦大学上海医学院枫林路校区东区东5号楼,医学院路150附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.198585692910246,121.44709055525736
复旦大学上海医学院枫林路校区西区公共卫生学院,医学院路138号复旦大学上海医学院枫林校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.198232912334387,121.44366628017627
复旦大学网络中心,东安路130号复旦大学上海医学院西区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.197381905030323,121.44395703932976
上海立信会计金融学院徐汇校区4号教学楼,中山西路2230号,徐汇区,上海市,科教文化服务;学校;高等院校,31.182868239492716,121.42466235072996
复旦大学上海医学院枫林路校区东区临床解剖中心,医学院路与平江路交叉口西南100米,徐汇区,上海市,科教文化服务;学校;高等院校,31.199644814763428,121.44787042458702
复旦大学护理实践教学中心,枫林路293号,徐汇区,上海市,科教文化服务;学校;高等院校,31.196633274889546,121.45197440709772
新瀚吉汉语国际学院,嘉善路98、118明园商务中心B座403,徐汇区,上海市,科教文化服务;学校;高等院校,31.213665680869646,121.45444972537054
复旦大学上海医学院枫林路校区东区脑功能重塑协同创新中心,同生东路与正谊路交叉口东南50米,徐汇区,上海市,科教文化服务;学校;高等院校,31.198919020748924,121.44732511356048
中共上海市委党校第三分校,虹漕南路123号,徐汇区,上海市,科教文化服务;学校;高等院校,31.163603971127873,121.40950723279802
复旦大学上海医学院枫林路校区西区公共卫生学院社会医学与卫生事业管理(南门),医学院路138号复旦大学上海医学院枫林校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.196289151314076,121.44724714496809
复旦大学上海医学院枫林路校区西区爱心公益站,[],徐汇区,上海市,科教文化服务;学校;高等院校,31.197444733190093,121.44684103167809
上海中医药大学国际教育学院,零陵路530号,徐汇区,上海市,科教文化服务;学校;高等院校,31.191045777573414,121.44678243786402
中共上海市委党校第五分校,天等路501号,徐汇区,上海市,科教文化服务;学校;高等院校,31.142026283290853,121.42096192151578
上海交通大学医学院精神卫生学系,宛平南路600号,徐汇区,上海市,科教文化服务;学校;高等院校,31.189843619018745,121.4444498605008
上海市机械工业学校招生办公室,天等路395号,徐汇区,上海市,科教文化服务;学校;高等院校,31.139289348209715,121.42245908341614
复旦大学上海医学院枫林路校区西区,医学院路138号,徐汇区,上海市,科教文化服务;学校;高等院校,31.19776395018177,121.44507367365685
上海行政学院-中共上海市委学校,学人路与虹漕南路交叉口南50米,徐汇区,上海市,科教文化服务;学校;高等院校,31.16107582434681,121.40859889330471
复旦大学上海医学院生物医学公共技术中心,医学院路138号复旦大学上海医学院枫林路校区东区,徐汇区,上海市,科教文化服务;学校;高等院校,31.198736213749214,121.44737425260037
弗吉尼亚大学中国代表处,复兴西路55号101室,徐汇区,上海市,科教文化服务;学校;高等院校,31.212292730559163,121.44033547617157
上海民航职业技术学院-第二实验楼,龙华西路1号,徐汇区,上海市,科教文化服务;学校;高等院校,31.172510207401892,121.4509978718302
上海交通大学院士专家办公室,淮海西路211号,徐汇区,上海市,科教文化服务;学校;高等院校,31.201891005297604,121.42644334549401
复旦大学上海医学院枫林路校区西区心理健康教育中心,东安路130复旦大学上海医学院西区,徐汇区,上海市,科教文化服务;学校;高等院校,31.198956349228066,121.44604794165602
复旦大学上海医学院枫林路校区西区公共卫生学院社会医学与卫生事业管理,医学院路138号复旦大学上海医学院枫林校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.196533646579514,121.44706366508291
中国交通职业技术学院(南校区),龙华西路1号,徐汇区,上海市,科教文化服务;学校;高等院校,31.17268618149116,121.45057573942094
上海体育学院徐汇校区(西部),老沪闵路775号,徐汇区,上海市,科教文化服务;学校;高等院校,31.14289218691162,121.42400588217436
复旦大学上海医学院枫林路校区东区明道楼,东安路131号复旦大学上海医学院东区内,徐汇区,上海市,科教文化服务;学校;高等院校,31.198947053298745,121.44734716645432
复旦大学护理学院8,枫林路305号,徐汇区,上海市,科教文化服务;学校;高等院校,31.195678903605383,121.45248587197442
华东理工大学徐汇校区会计学系,梅陇路130号华东理工大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.144975779407837,121.4179411393746
上海交通大学徐汇校区教材科(西门),华山路1954号上海交通大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.202350342059056,121.42982276800524
上海交通大学徐汇校区工程馆(南门),华山路1954号上海交通大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.20206756790872,121.42917470045748
上海交通大学徐汇校区中心小白楼(西门),华山路1954号上海交通大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.199982872057408,121.43077461513
上海交通大学徐汇校区南洋公学中院(南门),华山路1954号上海交通大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.20156479393153,121.43056611451557
上海交通大学徐汇校区机械动力楼(东门),华山路1954号上海交通大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.199385174839055,121.42866408743973
复旦大学上海医学院枫林路校区西区后勤办公室,医学院路138号复旦大学上海医学院枫林校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.198554572772547,121.4430628411205
上海交通大学教育集团南洋金融管理学院(南门),华山路1954号上海交通大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.199374195075013,121.43010050041777
华东师范大学研究生科研工作站,吴兴路87号,徐汇区,上海市,科教文化服务;学校;高等院校,31.20459808989438,121.43959351889343
上海师范大学西部商学院,桂林路100号上海师范大学内桂林路64号(近钦州南路),徐汇区,上海市,科教文化服务;学校;高等院校,31.16372787360059,121.41420381516537
华东理工大学商学院,梅陇路,徐汇区,上海市,科教文化服务;学校;高等院校,31.14469975741041,121.42360316408464
上海师大徐汇校区东部-第四教学大楼,桂林路81号上海师范大学徐汇校区东部内,徐汇区,上海市,科教文化服务;学校;高等院校,31.161812568791927,121.41636903330765
华东理工大学理学院,梅陇路130号华东理工大学,徐汇区,上海市,科教文化服务;学校;高等院校,31.145692566704554,121.41919348104142
上海师范大学徐汇校区影视传媒学院,桂林路81号上海师范大学徐汇校区东部内,徐汇区,上海市,科教文化服务;学校;高等院校,31.161745760471145,121.4165562281781
上海师范大学东部法苑楼,冠生园路与桂林路交叉口东100米,徐汇区,上海市,科教文化服务;学校;高等院校,31.16447230503441,121.41527673618404
华东理工大学徐汇校区国际技术转移中心,梅陇路105号附近,徐汇区,上海市,科教文化服务;学校;高等院校,31.14416973808734,121.42152845036397
华东理工大学教学系,勤奋路与行知路交叉口西南50米,徐汇区,上海市,科教文化服务;学校;高等院校,31.14569156435249,121.41919047766287
华东理工大学信息化办公室,勤奋路与迎宾路交叉口西50米,徐汇区,上海市,科教文化服务;学校;高等院校,31.14491015964385,121.41937776241808
上海交通大学徐汇校区人文学院教1楼,[],徐汇区,上海市,科教文化服务;学校;高等院校,31.199840369158476,121.42672395495508
华东理工大学徐汇校区科技产业大楼,梅陇路130号华东理工大学徐汇校区,徐汇区,上海市,科教文化服务;学校;高等院校,31.14735333166641,121.42358691170935
华东理工大学通信管理部,勤奋路与奋进路交叉口西南150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.147380052163395,121.4174343862963
上海师范大学西部数理学院教育技术中心,桂林路100上海师范大学西部,徐汇区,上海市,科教文化服务;学校;高等院校,31.164926251175327,121.4112162893403
上海师范大学西部数理信息学院,桂林路100上海师范大学西部,徐汇区,上海市,科教文化服务;学校;高等院校,31.16414348758677,121.41397057290035
上海师范大学西部数字视听中心,学子路与学府路交叉口东北50米,徐汇区,上海市,科教文化服务;学校;高等院校,31.163735511450568,121.41061196076141
上海交通大学材料科学与工程学院,广元西路与恭城路交叉口西150米,徐汇区,上海市,科教文化服务;学校;高等院校,31.199598508546874,121.42969579094307
